month,channel,impressions,clicks,conversions,spend,revenue
2024-01,Google Ads,50000,2500,120,1500.00,4800.00
2024-01,Facebook,80000,1600,95,1200.00,3800.00
2024-01,Email,20000,3000,200,200.00,6000.00
2024-01,Organic,35000,4200,180,0.00,5400.00
2024-02,Google Ads,60000,3000,145,1800.00,5800.00
2024-02,Facebook,95000,1900,110,1400.00,4400.00
2024-02,Email,22000,3300,220,200.00,6600.00
2024-02,Organic,40000,4800,200,0.00,6000.00
2024-03,Google Ads,75000,3750,180,2200.00,7200.00
2024-03,Facebook,110000,2200,130,1600.00,5200.00
2024-03,Email,25000,3750,250,200.00,7500.00
2024-03,Organic,48000,5760,240,0.00,7200.00
